ID,Name,Gender,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
73,Luc Abalo,M,27,182,86,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
395,Jennifer Abel,F,20,160,62,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87,Egypt,EGY,2012 Summer,2012,Summer,London,Fencing,Fencing Men's Foil  Individual,Silver
629,William Accambray,M,24,194,104,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
690,Chantal Achterberg,F,27,172,72,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
832,Nicola Virginia Adams,F,29,164,51,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
846,Valerie Kasanita Adams-Vili (-Price),F,27,193,120,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
849,Filip Kamil Adamski,M,29,189,87,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
925,Adenzia Aparecida Ferreira da Silva,F,25,187,65,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
980,"Rebecca ""Becky"" Adlington",F,23,179,70,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
980,"Rebecca ""Becky"" Adlington",F,23,179,70,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1017,Nathan Ghar-Jun Adrian,M,23,198,100,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1071,Kseniya Dmitriyevna Afanasyeva,F,20,158,48,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
1169,Marilyn Agliotti,F,33,172,58,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
1173,Yannick Agnel,M,20,202,90,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
1173,Yannick Agnel,M,20,202,90,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1173,Yannick Agnel,M,20,202,90,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1254,Macarena Aguilar Daz,F,27,170,67,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
1466,Matteo Aicardi,M,26,192,102,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver
1481,Hannes Aigner,M,23,183,75,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,Canoeing Men's Kayak Singles  Slalom,Bronze
1498,"Charles Benedict ""Ben"" Ainslie",M,35,183,90,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
1683,Foluke Antinuke Akinradewo,F,24,191,79,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
1809,Nasser Salih Nasser Abdullah Al-Attiya,M,41,178,82,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,Bronze
1858,Fehaid Al-Deehani,M,45,178,95,Kuwait,KUW,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,Bronze
